"","Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","date","numeric_date"
"1"," 36                            "," He's lucky to return home to reunite with his family for the holidays. But he's                                          just one of a few servicemen to do this. For many of our brave troops                                          stationed abroad and far from their loved ones. Our brave servicemen and                                          servicewomen will continue to make sacrifices for our great country while the                                          VA employees will be having their dinner and laughing at the VA backlog.                                          Click to Learn More! Veterans USA (@veterans GovSpending               "," https://www.instagram.com/veterans_us/                     ",": United States                                          Age: 13 - 35                                          Language: English (US)                                          Placements: lnstagram Feed                                          People Who Match: Interests: Military, Veterans or Politics                  "," 143,644                          "," 496                         "," 8,339.12 RUB               "," 01/14/16 07:18:30 AM PST ",2016-01-14,16814
"2"," 40                            "," Let's make America great again for the future generations! Click Learn More!                                          Veterans USA ( @veterans GovSpending               "," https://www.instagram.com/veterans_us/                     ",": United States                                          Interests: Independence or Patriotism                                          Age: 14 - 65+                                          Language: English (US)                                          Placements: lnstagram Feed                  "," 12,476                          "," 25                         "," 1,203.51 RUB               "," 01 /06/16 03: 11 :48 AM PST ",2016-01-06,16806
"3"," 1894                            "," Click to Learn More! In the 1730s, a seven-year-old English girl was washed                                          up on the shores of West Africa and was adopted by her rescuers. She                                          became the wife of a Prince and started a dynasty that extends into many of                                          today's Xhosa royal families. Due to her recessive gene, now and then a child                                          is born in the area with bright blue eyes. This is fascinating! This is a pure luck                                          for a Black girl to be adopted and loved after being thrown to the sea. I guess                                          she deserved to be a queen after what she had experienced. Black people                                          are the best of the best and I'm proud to be Black! #Blackprideus #black                                          #blacklove #african #africanamerican #blacklivesmatter #icantbreathe                                          #blackpride #blackandproud black priiide Yoyoyoyoyoy               "," https://www.instagram.com/black_pride_us/                     "," - Living In: United States                                          Age: 13 - 40                                          Language: English (US)                                          Placements: lnstagram Feed                                          People Who Match: Interests: Say It Loud - I'm Black and I'm Proud or Stop                                          Police Brutality                  "," 1,589                          "," 4                         "," 405.25 RUB               "," 01/15/16 12:56:09 AM PST ",2016-01-15,16815
"4"," 1900                             "," Click to Learn More! Everybody knows that Islam is against terrorism but not                                          everyone believes this fact! Islam does not support terrorism under any                                          circumstances. Terrorism goes against every principle in Islam. In fact if a                                           Muslim engages in terrorism, he is not following Islam and so he is not a                                           Muslim! America, stop insulting peaceful citizens, stop taking all of us as                                          criminals, we don't deserve such attitude! #muslimvoice #muslim @muslim                                          Voice • Musliminst                 "," https://www.instagram.com/muslim —voice/                      ",": United States                                          Age: 16 - 40                                          Language: English (UK)or English (US)                                          Placements: Instagram Feed                                          People Who Match: Interests: Islam in the United States or Allah Akbr                   "," 9,741                           "," 53                           "," 3,587.37 RUB                 "," 01/15/16 01:59:05 AM PST ",2016-01-15,16815
"5"," 1921                            "," I want Americans and Europeans understand and ask to feel the difference                                          between terrorists and faithful Muslim! Click Learn More! @muslim Voice•                                          Muslim Inst               "," https://www.instagram.com/muslim_voice/                     ",": United States                                          Interests: Islam or Al Jazeera                                          Age: 14 - 65+                                          Language: English (US)                                          Placements: lnstagram Feed                  "," 13,604                          "," 47                         "," 1,494.73 RUB               "," 01/06/16 03:51 :08 AM PST ",2016-01-06,16806
"6"," 1928                             "," THANK YOU to all those who risked their life for the sake of our country! Click                                          Learn More! Baltimore News Balt                 "," https://www.instagram.com/baItimore.blackvoice/                      ",": United States: Baltimore (+40 km) Maryland                                          Interests: African-American culture                                          Age: 14 - 65+                                          Language: English (US)                                          Placements: Instagram Feed                   "," 29,879                           "," 67                           "," 4,049.93 RUB                 "," 01/06/16 04:26:59 AM PST ",2016-01-06,16806
"7"," 794                             "," Your voice counts! Here you can find news and videos about black                                          community!                 "," https://www.facebook.comnVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 64                           "," 1                           "," 138.96 RUB                 "," 01/14/16 06:38:34 AM PST ",2016-01-14,16814
"8"," 910                             "," As we celebrate and reflect upon the birth of the great Martin Luther King Jr.,                                          a voice of the people and one who sacrificed his life for the total liberation of                                           Black Americans, the question is ''who will keep his dream alive""?                                           He saw the promise-land where blacks and whites live together in harmony                                          and each of them given equal rights and privileges, freedom and justice.                                          Today, we do not see this equality among blacks and whites in America.                                          These rights and privileges; freedom and justice shouldn't be for some                                          selected few but all!                                          Thanks for watching; I'd like to hear from you,                                           Click like, Share and Comment. Together we can make America a better                                           place.                                           https://www.youtube.com/watch?v=tWzl85XjHKc As we celebrate and reflect                                           upon the birth of the great Martin Luther King Jr.. a voice of the people and                                          one who sacrificed his life for the total liberatio... WHO WILL BE THE NEXT                                           MARTIN LUTHER KING JR.? Williams&Kalvin                 "," https://www.facebook.com/WiIIiamsandKalvin/                      ",": United States                                          Age: 18 - 54                                           Language: English (UK) or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                           Exclude: Behaviors: Hispanic(US -All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, HuffPost Politics or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 0                           "," 0                           "," None                 "," 01/19/16 03:47:57 AM PST                      Ad End Date 01/22/16 03:46:36 AM PST ",2016-01-19,16819
"9"," 778                             "," We're black and We're proud of it! Join to understand how beautiful we are!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic(US - All), Hispanic(US - Spanish                                          dominant), Hispanic(US - English dominant), Hispanic(US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: Black Tea Patriots, Black Knowledge,                                          BlackNews.com, Black (Color) or HuffPost Black Voices                                          And Must Also Match: Multicultural Affinity: African American(US)                   "," 147                           "," 5                           "," 72.77 RUB                 "," 01/14/16 06:32:29 AM PST ",2016-01-14,16814
"10"," 796                             "," It's time for changes in Black Community! Stay together brother let us be                                          together here!                 "," https://www.facebook.comnViIIiamsandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 46                           "," 1                           "," 114.87 RUB                 "," 01/14/16 06:33:13 AM PST ",2016-01-14,16814
"11"," 813                             "," Your voice counts! Here you can find news and videos about black                                          community!                 "," https://www.facebook.comnVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 48                           "," 0                           "," None                 "," 01/14/16 06:38:30 AM PST ",2016-01-14,16814
"12"," 773                             "," Community about black social and racial issues! Like to subcribe!                 "," https://www.facebook.comNVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 49                           "," 2                           "," 35.00 RUB                 "," 01/14/16 06:27:21 AM PST ",2016-01-14,16814
"13"," 780                             "," Black Discrimination Awareness! Like to join!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 51                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: National Museum of American History, Maya                                          Angelou, Mumia Abu-Jamal, The Raw Story or mother jones, Behaviors:                                          African American (US)                   "," 82,725                           "," 2,592                           "," 39,054.43 RUB                 "," 01/14/16 06:53:15 AM PST ",2016-01-14,16814
"14"," 783                            "," Your voice counts! Here you can find news and videos about black                                          community!               "," https://www.facebook.com/WilliamsandKalvin/                     ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK) or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic (US - All), Hispanic (US - Spanish                                          dominant), Hispanic (US - English dominant), Hispanic (US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: Black Tea Patriots, Black Knowledge,                                          BlackNews.com, Black (Color) or HuffPost Black Voices                                          And Must Also Match: Multicultural Affinity: African American (US)                  "," 39                          "," 1                         "," 0.00               "," 01/14/16 06:38:40 AM PST ",2016-01-14,16814
"15"," 788                             "," Where is the justice? Our brothers and sisters are being cruelly killed by the                                          so-called police every day and our judicial system is absolutely blind. We are                                          all Americans, but why does our corrupt Government differ black and white                                           people? We want the same attitude! I don't want to be scared of living in my                                          country! They will never shut me up!                                          https://www.youtube.com/watch?v=GjSyORgShOI Where is the justice? Our                                           brothers and sisters are being cruelly killed by the so-called police every day                                          and our judicial system is absolutely blind. We are... Police is not above the                                          law! Williams&Kalvin                 "," https://www.youtube.com/watch?v=GjSyORgShOl                      ",": United States                                          Interests: BlackNews.com, HuffPost Politics or HuffPost Black Voices                                          Age: 18 - 54                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 0                           "," 0                           "," None                 "," 01/05/16 02:03:02 AM PST                      Ad End Date 01/07/16 02:03:00 AM PST ",2016-01-05,16805
"16"," 789                             "," Where is the justice? Our brothers and sisters are being cruelly killed by the                                          so-called police every day and our judicial system is absolutely blind. We are                                          all Americans, but why does our corrupt Government differ black and white                                           people? We want the same attitude! I don't want to be scared of living in my                                          country! They will never shut me up!                                          https://www.youtube.com/watch?v=GjSyORgShOI Where is the justice? Our                                           brothers and sisters are being cruelly killed by the so-called police every day                                          and our judicial system is absolutely blind. We are... Police is not above the                                          law!                 "," https://www.youtube.com/watch?v=GjSyORgShOl                      ",": United States                                          Age: 18 - 54                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Accessing Facebook on: Wi-Fi                                          People Who Match: Interests: BlackNews.com, HuffPost Politics or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 3,067                           "," 172                           "," 1,000.00 RUB                 "," 01/05/16 02:04:48 AM PST                      Ad End Date 01/07/16 02:03:00 AM PST ",2016-01-05,16805
"17"," 791                             "," Community about black social and racial issues! Like to subscribe!                 "," https://www.facebook.comNVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic(US - All), Hispanic(US - Spanish                                          dominant), Hispanic(US - English dominant), Hispanic(US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: Black Tea Patriots, Black Knowledge,                                          BlackNews.com, Black (Color) or HuffPost Black Voices                                          And Must Also Match: Multicultural Affinity: African American(US)                   "," 70                           "," 1                           "," 8.08 RUB                 "," 01/14/16 06:31:13 AM PST ",2016-01-14,16814
"18"," 792                             "," We're black and We're proud of it! Join to understand how beautiful we are!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 51                           "," 0                           "," None                 "," 01/14/16 06:32:30 AM PST ",2016-01-14,16814
